City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ust'-Koksa,50.2696,85.6108,44.82,78,2,1.81,RU,1621115568
Viedma,-40.8135,-62.9967,54.27,76,74,7.36,AR,1621115569
Tieling,42.2931,123.8414,52.52,52,94,5.17,CN,1621115569
Agirish,61.9247,63.0231,53.53,94,90,6.91,RU,1621115569
Pangoa,-12.1167,-73.0,73.44,83,90,1.19,PE,1621115570
Vzmorye,54.6961,20.2361,46.0,100,90,4.47,RU,1621115570
Pagudpud,18.5616,120.7868,80.6,89,20,2.3,PH,1621115570
Lorengau,-2.0226,147.2712,84.38,76,100,9.57,PG,1621115571
Calbuco,-41.768,-73.1273,53.6,82,75,5.75,CL,1621115571
Jurbarkas,55.0778,22.7664,46.45,95,42,4.18,LT,1621115572
Gravdal,68.1214,13.5031,44.53,83,100,11.21,NO,1621115572
Broome,42.2506,-75.833,68.0,30,75,8.05,US,1621115533
Bubaque,11.2833,-15.8333,77.67,83,25,15.79,GW,1621115573
San Juan,-31.5375,-68.5364,37.0,33,66,34.0,AR,1621115440
Hirara,24.8,125.2833,78.8,94,40,10.36,JP,1621115573
Marzuq,14.4,46.4667,81.73,35,6,4.94,YE,1621115574
Calceta,-0.85,-80.1667,77.0,83,75,11.5,EC,1621115530
Varhaug,58.6147,5.6457,46.0,98,100,5.23,NO,1621115574
Arrondissement de Saint-Denis,48.9167,2.3333,55.4,76,90,9.22,FR,1621115575
Senanga,-16.1167,23.2667,61.92,43,30,2.62,ZM,1621115575
Savannah Bight,16.45,-85.85,87.8,66,40,10.36,HN,1621115576
Clyde River,70.4692,-68.5914,21.2,58,1,3.44,CA,1621115499
Santa Catarina de Tepehuanes,25.35,-105.7333,82.35,19,61,24.83,MX,1621115576
Cairns,-16.9167,145.7667,71.6,73,1,9.22,AU,1621115418
Ambilobe,-13.2,49.05,70.88,79,1,4.56,MG,1621115577
Mbour,14.422,-16.9638,73.4,73,88,13.8,SN,1621115577
Quatre Cocos,-20.2078,57.7625,75.99,83,75,14.97,MU,1621115577
Anori,-3.7728,-61.6442,76.1,94,87,1.95,BR,1621115578
Meiningen,50.5679,10.4152,48.0,91,88,7.34,DE,1621115578
Saint George,37.1041,-113.5841,91.99,7,1,23.02,US,1621115578
Faanui,-16.4833,-151.75,80.83,74,100,17.27,PF,1621115579
Longyearbyen,78.2186,15.6401,21.2,63,40,9.22,SJ,1621115579
Catuday,16.2923,119.8062,81.59,73,62,8.12,PH,1621115579
Arrondissement du Havre,49.5833,0.3333,51.8,87,75,11.5,FR,1621115580
Tombouctou,20.0,-3.0,93.85,10,3,11.7,ML,1621115580
Plácido de Castro,-10.3353,-67.1856,80.64,65,88,2.06,BR,1621115581
Tongren,27.7172,109.1853,72.14,98,98,1.5,CN,1621115581
Mahon,39.8885,4.2658,62.6,88,0,9.22,ES,1621115582
Lagoa,39.05,-27.9833,62.92,94,85,15.05,PT,1621115582
Paso de Carrasco,-34.8603,-56.0522,59.0,77,0,4.61,UY,1621115582
Olonets,60.9847,32.9698,54.18,94,100,5.17,RU,1621115583
Maragogi,-9.0122,-35.2225,76.64,76,59,8.59,BR,1621115583
Porto-Novo,6.4965,2.6036,78.8,83,40,6.91,BJ,1621115583
Williston,48.147,-103.618,77.0,25,43,3.0,US,1621115208
Dunedin,-45.8742,170.5036,51.01,75,90,8.99,NZ,1621115524
Mercedes,-34.6515,-59.4307,57.99,72,94,4.65,AR,1621115584
Ambanja,-13.6833,48.45,72.57,81,33,4.52,MG,1621115584
Bamiantong,44.9333,130.5333,50.61,66,26,5.23,CN,1621115585
Omboué,-1.5746,9.2618,78.24,89,58,6.22,GA,1621115585
Bloomington,44.8408,-93.2983,73.99,37,75,8.05,US,1621115458
Katherine,-14.4667,132.2667,55.4,58,26,8.05,AU,1621115586
Mareeba,-17.0,145.4333,71.6,73,0,9.22,AU,1621115586
Lompoc,34.6391,-120.4579,60.8,59,21,11.5,US,1621115541
Kuusamo,65.9667,29.1833,37.4,100,90,8.05,FI,1621115587
Coari,-4.085,-63.1414,77.14,93,60,1.95,BR,1621115587
Esmeraldas,-19.7625,-44.3139,71.6,60,0,6.91,BR,1621115368
Kyabé,9.4515,18.9449,80.83,62,75,8.84,TD,1621115588
Nefteyugansk,61.0998,72.6035,44.6,81,0,6.71,RU,1621115588
Mweka,-4.85,21.5667,73.36,71,55,1.1,CD,1621115588
Abnūb,27.2696,31.1511,78.8,34,0,11.5,EG,1621115589
Chimbote,-9.0853,-78.5783,66.92,80,5,8.68,PE,1621115589
Hasaki,35.7333,140.8333,66.2,82,75,11.5,JP,1621115589
Arrondissement de Saint-Claude,46.5,5.8333,48.99,96,100,1.99,FR,1621115590
Damphu,27.0721,90.1096,60.57,82,76,4.74,BT,1621115590
Comarapa,-17.9,-64.4833,55.35,88,78,4.14,BO,1621115591
Olafsvik,64.8945,-23.7142,39.25,65,12,20.42,IS,1621115591
Abhā,18.2164,42.5053,69.8,56,0,5.55,SA,1621115591
Araouane,18.9048,-3.5265,94.15,9,24,10.87,ML,1621115592
Ahipara,-35.1667,173.1667,62.92,75,23,7.02,NZ,1621115592
Coswig,51.1333,13.5833,50.0,87,40,8.05,DE,1621115592
Terrace Bay,48.7834,-87.1,55.4,44,20,4.61,CA,1621115593
Ingham,42.6,-84.3833,68.0,26,75,8.05,US,1621115593
Laramie,41.3114,-105.5911,54.0,76,90,20.71,US,1621115594
Kokoda,-8.8785,147.7407,79.03,88,100,1.14,PG,1621115594
Mikhaylovka,50.06,43.2379,63.9,53,43,7.9,RU,1621115594
Maceió,-9.6658,-35.7353,78.8,78,20,4.61,BR,1621115565
Clarence Town,-32.5833,151.7833,51.01,66,75,14.97,AU,1621115595
Linxia Chengguanzhen,35.6003,103.2064,40.96,70,66,3.04,CN,1621115595
Shwebo,22.5667,95.7,82.67,47,41,3.94,MM,1621115428
Colquechaca,-18.6667,-66.0167,38.53,35,67,4.76,BO,1621115596
Wawa,9.9022,4.4192,77.31,80,100,7.67,NG,1621115596
Okha,53.5739,142.9478,40.51,94,100,15.99,RU,1621115597
Sistranda,63.7256,8.834,50.0,71,40,23.02,NO,1621115597
Ola,59.5833,151.2833,35.89,96,100,3.18,RU,1621115597
Galle,6.0367,80.217,81.82,82,100,11.9,LK,1621115561
Saint-François,46.4154,3.9054,51.8,87,0,5.75,FR,1621115598
Along,28.1667,94.7667,65.89,82,95,1.68,IN,1621115598
Skjervøy,70.0311,20.9714,39.51,76,88,15.93,NO,1621115599
Ballina,-28.8667,153.5667,53.01,62,6,8.05,AU,1621115599
Miranda,3.2499,-76.2281,77.0,78,75,13.8,CO,1621115599
Kagal'nitskaya,46.8806,40.1466,65.17,72,8,7.29,RU,1621115600
Rawson,-43.3002,-65.1023,57.18,43,3,8.86,AR,1621115600
Marshall,34.3834,-86.3333,77.0,35,40,3.33,US,1621115600
Kwang Binh,17.4833,106.6,80.76,78,77,4.5,VN,1621115601
Anshun,26.25,105.9333,60.53,84,1,11.39,CN,1621115601
Kiryat Gat,31.61,34.7642,69.01,83,0,4.65,IL,1621115342
Gazli,40.1333,63.45,69.84,25,0,19.84,UZ,1621115602
Egvekinot,66.3167,-179.1667,30.63,91,17,5.41,RU,1621115602
São Sepé,-30.1606,-53.5653,62.6,77,0,4.61,BR,1621115602
Pevek,69.7008,170.3133,28.6,90,89,2.68,RU,1621115603
Kavaratti,10.5669,72.642,82.83,81,100,28.74,IN,1621115567
Hoquiam,46.9809,-123.8893,61.0,88,1,16.11,US,1621115603
Roald,62.5833,6.1333,51.8,87,90,3.44,NO,1621115604
Arvika,59.6553,12.5852,48.2,100,90,9.22,SE,1621115604
Águilas,37.4063,-1.5829,73.99,30,82,5.99,ES,1621115605
Uruçuí,-7.2294,-44.5561,80.26,58,65,3.31,BR,1621115605
Erenhot,43.6475,111.9767,49.87,20,52,7.29,CN,1621115605
Kailua,21.4022,-157.7394,78.8,65,75,13.8,US,1621115606
Salta,-24.7859,-65.4117,62.6,63,20,9.22,AR,1621115599
Dolores,-36.3132,-57.6792,53.96,66,99,5.23,AR,1621115606
Sydney Mines,46.2367,-60.2177,51.8,50,40,10.36,CA,1621115607
Caravelas,-17.7125,-39.2481,72.0,69,58,5.93,BR,1621115567
Baghmara,23.795,86.2085,86.52,49,9,3.74,IN,1621115607
Prainha,-1.8,-53.48,75.88,91,76,4.47,BR,1621115607
Terney,45.0503,136.6092,52.48,83,100,5.21,RU,1621115608
Penzance,50.1186,-5.5371,51.8,93,75,8.05,GB,1621115608
North Battleford,52.7834,-108.2847,75.2,25,40,24.16,CA,1621115608
Kedrovyy,56.1667,91.8167,50.0,100,75,2.24,RU,1621115609
Fortuna,40.5982,-124.1573,59.0,87,90,12.66,US,1621115609
Arrondissement de Tarbes,43.25,0.1667,57.2,100,90,2.3,FR,1621115610
Hearst,49.6835,-83.6665,57.2,62,95,4.61,CA,1621115610
Hobyo,5.3505,48.5268,80.87,83,65,24.76,SO,1621115610
Accra,5.556,-0.1969,82.4,89,0,11.5,GH,1621115611
Barra de Tecoanapa,16.5167,-98.75,88.48,61,41,10.02,MX,1621115611
Avera,33.194,-82.5271,75.2,35,40,4.61,US,1621115611
Terrace,54.5163,-128.6035,51.8,76,90,17.27,CA,1621115612
Entre Rios,-11.9419,-38.0844,69.57,95,82,4.09,BR,1621115612
Kajiado,-1.8524,36.7768,66.2,82,75,4.72,KE,1621115612
Agropoli,40.3469,14.9966,57.99,92,86,1.01,IT,1621115613
Krasne,49.9145,24.6134,48.2,87,0,4.47,UA,1621115613
Flinders,-34.5833,150.8552,50.0,60,7,3.0,AU,1621115613
Acapulco de Juárez,16.8634,-99.8901,89.6,66,75,9.22,MX,1621115508
Xining,36.6167,101.7667,41.74,82,67,2.35,CN,1621115614
Big Rapids,43.6981,-85.4837,64.99,31,75,17.27,US,1621115614
Rafai,4.95,23.9167,69.66,90,97,2.01,CF,1621115615
Graciano Sánchez,23.9167,-99.2833,91.4,35,75,6.91,MX,1621115615
Camacha,33.0833,-16.3333,66.2,72,75,12.66,PT,1621115529
Mackay,-21.15,149.2,61.0,82,0,5.75,AU,1621115616
Colares,38.7992,-9.4469,64.99,85,52,6.93,PT,1621115616
Tanout,14.9709,8.8879,89.91,11,17,10.33,NE,1621115617
‘Āhuimanu,21.4447,-157.8378,78.8,65,75,13.8,US,1621115617
Cavalcante,-13.7975,-47.4583,67.26,60,100,3.11,BR,1621115618
Arenápolis,-14.4503,-56.8461,78.15,57,79,2.77,BR,1621115618
Pampierstad,-27.7832,24.6877,60.15,33,10,9.37,ZA,1621115618
Machalí,-34.1833,-70.6667,60.8,59,75,4.61,CL,1621115619
Kalemie,-5.9475,29.1947,70.95,82,3,1.61,CD,1621115619
Burns Lake,54.2331,-125.7533,57.2,54,100,2.3,CA,1621115620
Rauma,61.1272,21.5113,46.4,100,90,2.3,FI,1621115620
Elizabeth City,36.2946,-76.2511,71.6,30,1,12.66,US,1621115585
Narsaq,60.9167,-46.05,51.8,22,10,9.22,GL,1621115620
Morgan City,29.6994,-91.2068,81.0,57,40,9.22,US,1621115621
Corn Island,12.1694,-83.0418,81.75,71,56,15.21,NI,1621115621
Vikārābād,17.3333,77.9,78.8,83,75,9.22,IN,1621115622
Peace River,56.2501,-117.286,64.4,32,90,23.02,CA,1621115622
Tura,25.5198,90.2201,69.66,92,1,3.87,IN,1621115622
Kul'dur,49.2167,131.6333,50.29,65,2,10.83,RU,1621115623
Taku,39.0211,117.6469,60.8,55,0,13.42,CN,1621115623
Ciudad del Carmen,18.6333,-91.8333,84.2,74,75,11.5,MX,1621115451
Awjilah,29.1081,21.2869,74.75,32,28,15.84,LY,1621115624
Kropotkin,45.4375,40.5756,62.01,83,13,6.78,RU,1621115624
Bukama,-9.2,25.85,68.41,69,1,2.04,CD,1621115624
Pedernales,18.0384,-71.744,83.77,66,14,6.62,DO,1621115625
Fuyang,32.9,115.8167,54.25,92,100,17.96,CN,1621115625
Bereda,43.2686,-7.5406,61.0,100,100,8.01,ES,1621115625
Laela,-8.5667,32.05,57.52,86,8,3.29,TZ,1621115626
Jijiang,29.2906,106.2542,66.2,77,0,11.18,CN,1621115626
Almenara,-16.1836,-40.6944,69.89,77,98,1.79,BR,1621115627
Kahului,20.8947,-156.47,78.8,53,40,19.57,US,1621115627
Kerema,-7.9631,145.7785,79.7,85,99,2.98,PG,1621115627
Belize,17.25,-88.75,95.0,46,75,9.22,BZ,1621115628
Warri,5.5167,5.75,77.72,92,99,3.87,NG,1621115628
La Romana,18.4273,-68.9728,86.0,66,20,11.5,DO,1621115628
Grand Gaube,-20.0064,57.6608,75.99,65,19,8.99,MU,1621115629
Coyhaique,-45.5752,-72.0662,48.2,81,75,3.44,CL,1621115629
Wentzville,38.8114,-90.8529,64.0,72,100,1.99,US,1621115630
Ambon City,-3.6954,128.1814,77.0,94,40,8.05,ID,1621115630
Kushmurun,52.4503,64.6311,66.63,45,4,6.22,KZ,1621115630
Ubari,26.5921,12.7805,85.03,15,90,6.91,LY,1621115631
Teeli,51.0333,90.2333,49.82,51,18,2.13,RU,1621115631
Merritt Island,28.5392,-80.672,82.4,39,40,14.97,US,1621115631
Kidal,18.4411,1.4078,96.17,19,38,12.28,ML,1621115632
Buchanan,5.8808,-10.0467,77.0,94,75,6.2,LR,1621115632
Cabo San Lucas,22.8909,-109.9124,90.0,35,20,11.5,MX,1621115632
Novyy Buh,47.6931,32.5216,59.0,58,0,4.47,UA,1621115633
Ketchikan,55.3422,-131.6461,49.28,93,100,5.5,US,1621115353
Cornélio Procópio,-23.1811,-50.6467,71.6,60,20,3.44,BR,1621115633
Kupino,54.3663,77.2981,61.27,67,95,9.75,RU,1621115634
Sabzawār,36.2126,57.6819,67.3,31,47,7.25,IR,1621115634
Necochea,-38.5473,-58.7368,57.99,82,80,4.43,AR,1621115634
Lagos,6.5833,3.75,77.0,88,40,4.61,NG,1621115632
Ivanovka,42.8878,75.085,55.4,54,40,15.66,KG,1621115635
Sanguéya,10.7,-14.3667,79.07,81,55,6.98,GN,1621115635
Tromsø,69.6496,18.957,41.0,70,75,8.05,NO,1621115636
Kintampo,8.0563,-1.7306,74.7,85,59,4.41,GH,1621115636
Corinth,37.9407,22.9573,63.0,72,0,7.81,GR,1621115636
Boca do Acre,-8.7522,-67.3978,80.87,71,85,1.45,BR,1621115637
Lubao,14.9167,120.55,80.6,78,40,2.3,PH,1621115637
Bakhmach,51.1808,32.7569,52.83,93,43,7.2,UA,1621115637
Moyale,3.5167,39.0584,72.14,53,90,1.9,KE,1621115638
Digri,25.1558,69.1113,87.21,51,99,9.69,PK,1621115639
Muros,42.7762,-9.0603,62.01,94,100,8.01,ES,1621115639
Adolfo López Mateos,28.4667,-107.3,81.0,12,85,7.0,MX,1621115639
Tilichiki,60.4667,166.1,29.73,83,17,3.33,RU,1621115640
Kyotera,-0.6156,31.5175,63.16,93,80,2.21,UG,1621115640
Turukhansk,65.8167,87.9833,15.13,95,26,6.58,RU,1621115641
Vilhena,-12.7406,-60.1458,80.6,65,75,4.61,BR,1621115641
Alto Araguaia,-17.3147,-53.2153,73.78,48,71,3.49,BR,1621115641
Buraidah,26.326,43.975,87.8,16,0,8.05,SA,1621115576
Pierre,44.3683,-100.351,79.0,25,1,10.36,US,1621115642
Araci,-11.3333,-38.9667,72.18,83,98,9.4,BR,1621115642
Dul'durga,50.6761,113.5931,45.36,46,7,14.23,RU,1621115643
Yasnyy,51.0333,59.8742,64.96,44,0,4.12,RU,1621115643
Mountain Home,43.133,-115.6912,73.4,25,40,14.97,US,1621115643
Isoka,-10.1606,32.6335,57.16,92,5,0.92,ZM,1621115644
Puerto del Rosario,28.5004,-13.8627,68.0,77,20,14.97,ES,1621115645
Morón,-34.6534,-58.6198,62.01,63,100,3.24,AR,1621115532
Miraflores,19.2167,-98.8083,71.6,35,90,19.57,MX,1621115645
Hammond,41.5834,-87.5,59.0,63,90,9.22,US,1621115646
Alexandria,31.2156,29.9553,71.6,78,0,8.05,EG,1621115420
Zhigansk,66.7697,123.3711,47.59,49,97,22.77,RU,1621115646
Marrakesh,31.6315,-8.0083,80.6,36,40,6.91,MA,1621115542
Karksi-Nuia,58.1033,25.5628,55.4,82,90,11.5,EE,1621115647
Kandiari,26.9156,68.5216,90.37,31,26,11.88,PK,1621115647
Metlaltoyuca,20.7333,-97.85,89.6,51,40,10.36,MX,1621115648
Birao,10.2849,22.7882,79.95,56,100,6.2,CF,1621115648
Mórrope,-6.5417,-80.0111,73.4,64,0,19.57,PE,1621115648
Rocha,-34.4833,-54.3333,51.51,77,100,3.29,UY,1621115521
Shama,33.6102,104.2852,40.12,90,100,4.56,CN,1621115649
Bentiu,9.2333,29.8333,82.15,56,64,4.65,SS,1621115649
Gannan,47.9147,123.5031,57.2,31,8,9.86,CN,1621115649
Salinópolis,-0.6136,-47.3561,75.47,93,100,14.18,BR,1621115617
Shingū,33.7333,135.9833,65.62,98,100,5.32,JP,1621115650
Tetovo,42.0106,20.9714,53.6,82,75,3.44,MK,1621115650
Estación Queréndaro,19.8667,-100.9167,75.2,46,75,14.97,MX,1621115651
Cambridge,43.3601,-80.3127,66.2,27,90,17.27,CA,1621115501
Sola,-13.8833,167.55,82.4,89,75,4.61,VU,1621115651
Biltine,14.5333,20.9167,86.61,5,0,11.81,TD,1621115652
Port Augusta,-32.5,137.7667,53.6,87,90,9.22,AU,1621115652
Artyom,40.4723,50.333,57.2,88,20,2.3,AZ,1621115652
Lázaro Cárdenas,17.9583,-102.2,87.96,57,1,12.55,MX,1621115653
Milos,36.75,24.4333,66.2,68,1,6.91,GR,1621115653
Jackson,42.4165,-122.8345,84.99,31,1,5.75,US,1621115653
Straumen,63.8709,11.2999,50.0,66,75,9.22,NO,1621115654
Arona,28.0996,-16.681,70.0,73,0,6.91,ES,1621115654
Morant Bay,17.8815,-76.4093,84.99,74,40,11.5,JM,1621115655
Clevelândia,-26.3958,-52.4708,54.57,73,0,2.28,BR,1621115655
Peniche,39.3558,-9.3811,64.0,85,75,5.99,PT,1621115655
Prince Rupert,54.3161,-130.3201,48.2,93,90,10.36,CA,1621115462
Cheltenham,51.9,-2.0833,48.99,83,28,7.43,GB,1621115656
Lamu,-2.2717,40.902,79.52,83,7,17.43,KE,1621115656
Tiznit Province,29.5833,-9.5,75.51,34,0,2.06,MA,1621115545
Juba,4.8517,31.5825,73.8,79,10,4.09,SS,1621115657
Kununurra,-15.7667,128.7333,68.0,40,3,8.05,AU,1621115657
Grindavik,63.8424,-22.4338,42.8,61,0,12.66,IS,1621115657
Oktyabr'skiy,54.4815,53.471,64.67,52,30,5.48,RU,1621115658
Pameungpeuk,-7.0183,107.6039,73.0,90,62,1.99,ID,1621115658
Sioux Lookout,50.1001,-91.917,66.2,37,75,5.75,CA,1621115659
El Alto,-4.2714,-81.2147,75.2,69,0,23.02,PE,1621115659
Rio Grande,-32.035,-52.0986,55.99,73,51,5.88,BR,1621115659
North Bend,43.4065,-124.2243,61.0,76,75,18.41,US,1621115660
Houma,29.5958,-90.7195,80.01,53,40,11.5,US,1621115660
Matagami,49.7502,-77.6328,62.6,42,1,11.5,CA,1621115660
Pokhara,28.2333,83.9833,68.34,50,99,8.05,NP,1621115482
Zavetnoye,47.1194,43.8903,63.36,45,62,11.59,RU,1621115661
Nishihara,26.1842,127.7558,78.8,89,75,13.8,JP,1621115661
Harstad,68.799,16.5293,42.8,81,98,6.91,NO,1621115662
Santa Rosa,14.3122,121.1114,82.99,74,20,1.14,PH,1621115362
Isangel,-19.55,169.2667,80.31,76,61,7.63,VU,1621115662
Bakchar,57.0186,82.0711,49.26,98,86,4.03,RU,1621115663
Kenitra,34.261,-6.5802,60.8,82,17,8.08,MA,1621115632
Puerto Suárez,-18.95,-57.8,87.8,45,0,3.44,BO,1621115663
Mana,5.6592,-53.7767,78.15,85,65,11.65,GF,1621115663
Sambava,-14.2667,50.1667,74.53,84,55,9.86,MG,1621115664
Aldama,22.9167,-98.0667,84.99,73,68,7.0,MX,1621115664
Forsytheganj,52.6333,29.7333,51.21,95,75,6.26,BY,1621115665
Kosum Phisai,16.2486,103.0674,87.01,83,60,2.3,TH,1621115665
Syracuse,37.0881,15.2792,60.8,44,0,11.5,IT,1621115666
Porto Velho,-8.7619,-63.9039,87.8,58,20,3.44,BR,1621115422
Berlevåg,70.8578,29.0864,34.86,83,100,17.38,NO,1621115666
Igarka,67.4667,86.5833,6.91,97,65,6.46,RU,1621115666
Ormond Beach,29.2858,-81.0559,77.0,60,1,16.69,US,1621115655
Gurlan,41.8447,60.3919,66.2,27,0,11.5,UZ,1621115667
Waingapu,-9.6567,120.2641,74.43,81,8,9.31,ID,1621115667
Alvarado,18.7667,-95.7667,88.0,55,75,9.22,MX,1621115668
Mendi,-6.1761,143.6513,60.04,96,98,0.67,PG,1621115668
Alice Springs,-23.7,133.8833,37.4,87,87,4.61,AU,1621115384
Merauke,-8.4667,140.3333,78.51,87,95,11.3,ID,1621115669
Portoferraio,42.8115,10.3146,63.0,79,94,3.0,IT,1621115669
Santa Marta,11.2408,-74.199,83.07,78,58,17.02,CO,1621115669
Nola,40.922,14.5329,60.8,63,0,6.91,IT,1621115670
Nibbar,36.2941,8.7666,68.0,49,20,5.75,TN,1621115670
Lagunas,-5.2269,-75.6753,75.7,96,76,1.43,PE,1621115671
Saint Anthony,45.0205,-93.218,73.99,35,20,8.05,US,1621115671
